author,n.runs,index,n.cols,n.added,design.rank,cols,wlp,clear.2fi
Csw,32,18-13.5,18,13,5,"3,5,6,9,10,14,17,22,23,24,27,28,29","24,113,272,547",0
Csw,32,19-14.1,19,14,1,"3,5,6,9,10,14,15,17,22,23,26,27,28,29","24,164,344,784",0
Csw,32,19-14.2,19,14,2,"3,5,6,7,9,10,11,17,18,19,28,29,30,31","25,164,336,784",0
Csw,32,19-14.3,19,14,3,"3,5,6,9,10,14,15,17,18,22,23,26,27,28","28,147,364,791",0
Csw,32,19-14.4,19,14,4,"3,5,6,9,10,13,14,15,17,22,23,26,27,28","28,148,364,784",0
Csw,32,19-14.5,19,14,5,"3,5,6,9,10,13,14,17,22,23,24,26,29,31","30,136,378,816",0
Csw,32,20-15.1,20,15,1,"3,5,6,9,10,14,15,17,18,22,23,26,27,28,29","32,188,480,1128",0
Csw,32,20-15.2,20,15,2,"3,5,6,9,10,13,14,15,17,22,23,26,27,28,29","32,189,480,1120",0
Csw,32,20-15.3,20,15,3,"3,5,6,7,9,10,11,12,17,18,19,28,29,30,31","33,188,472,1128",0
Csw,32,20-15.4,20,15,4,"3,5,6,9,10,14,15,17,18,22,23,26,27,28,31","35,175,491,1155",0
Csw,32,20-15.5,20,15,5,"3,5,6,9,10,13,14,15,17,18,22,23,26,27,28","35,176,490,1148",0
Csw,32,21-16.1,21,16,1,"3,5,6,9,10,14,15,17,18,22,23,26,27,28,29,31","40,220,641,1608",0
Csw,32,21-16.2,21,16,2,"3,5,6,9,10,13,14,15,17,18,22,23,26,27,28,29","40,221,640,1600",0
Csw,32,21-16.3,21,16,3,"3,5,6,7,9,10,11,12,17,18,19,20,28,29,30,31","41,220,632,1608",0
Csw,32,21-16.4,21,16,4,"3,5,6,9,10,13,14,17,19,22,23,24,26,28,29,31","42,210,651,1638",0
Csw,32,21-16.5,21,16,5,"3,5,6,9,10,13,14,15,17,18,21,22,23,25,26,29","42,213,644,1624",0
Csw,32,22-17.1,22,17,1,"3,5,6,9,10,13,14,15,17,18,21,22,23,25,26,29,30","48,263,832,2224",0
Csw,32,22-17.2,22,17,2,"3,5,6,9,10,13,14,15,17,18,21,22,23,25,26,27,28","49,259,833,2240",0
Csw,32,22-17.3,22,17,3,"3,5,6,7,9,10,11,12,17,18,19,20,25,28,29,30,31","49,261,825,2240",0
Csw,32,22-17.4,22,17,4,"3,5,6,7,9,10,11,12,17,18,19,20,24,28,29,30,31","50,260,816,2249",0
Csw,32,22-17.5,22,17,5,"3,5,6,7,9,10,11,12,13,17,18,19,20,28,29,30,31","50,261,816,2240",0
Csw,32,23-18.1,23,18,1,"3,5,6,9,10,13,14,15,17,18,21,22,23,25,26,27,28,29","56,315,1064,3024",0
Csw,32,23-18.2,23,18,2,"3,5,6,7,9,10,11,12,13,17,18,19,20,26,28,29,30,31","58,311,1050,3056",0
Csw,32,23-18.3,23,18,3,"3,5,6,7,9,10,11,12,13,17,18,19,20,21,26,27,28,30","59,308,1047,3073",0
Csw,32,23-18.4,23,18,4,"3,5,6,7,9,10,11,12,13,17,18,19,20,22,28,29,30,31","59,310,1041,3065",0
Csw,32,23-18.5,23,18,5,"3,5,6,7,9,10,11,12,13,17,18,19,20,21,26,27,28,29","59,311,1040,3056",0
Csw,32,24-19.1,24,19,1,"3,5,6,9,10,13,14,15,17,18,21,22,23,25,26,27,28,29,30","64,378,1344,4032",0
Csw,32,24-19.2,24,19,2,"3,5,6,7,9,10,11,12,13,17,18,19,20,21,26,27,28,29,30","67,371,1324,4088",0
Csw,32,24-19.3,24,19,3,"3,5,6,7,9,10,11,12,13,17,18,20,21,22,24,26,27,30,31","68,369,1316,4106",0
Csw,32,24-19.4,24,19,4,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,27,28,29,30,31","68,370,1316,4096",0
Csw,32,24-19.5,24,19,5,"3,5,6,7,9,10,11,12,13,17,18,19,20,22,24,27,28,29,30","69,366,1311,4129",0
Csw,32,25-20.1,25,20,1,"3,5,6,7,9,10,11,12,13,17,18,19,20,21,26,27,28,29,30,31","76,442,1656,5376",0
Csw,32,25-20.2,25,20,2,"3,5,6,7,9,10,11,12,13,17,18,19,20,22,24,27,28,29,30,31","78,437,1641,5422",0
Csw,32,25-20.3,25,20,3,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,26,27,28,29,30","78,438,1640,5412",0
Csw,32,25-20.4,25,20,4,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,22,25,26,27,28","79,436,1632,5430",0
Csw,32,25-20.5,25,20,5,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,22,25,26,28,31","79,437,1630,5422",0
Csw,32,26-21.1,26,21,1,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,26,27,28,29,30,31","88,518,2032,7032",0
Csw,32,26-21.2,26,21,2,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,22,25,26,27,28,29","89,516,2023,7052",0
Csw,32,26-21.3,26,21,3,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,22,24,25,26,28,31","90,515,2012,7063",0
Csw,32,26-21.4,26,21,4,"3,5,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25,26,28","90,515,2013,7062",0
Csw,32,26-21.5,26,21,5,"3,5,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26","90,516,2012,7052",0
Csw,32,27-22.1,27,22,1,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,22,25,26,27,28,29,30","100,606,2484,9064",0
Csw,32,27-22.2,27,22,2,"3,5,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,28","101,605,2473,9075",0
Csw,32,27-22.3,27,22,3,"3,5,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27","101,606,2472,9064",0
Csw,32,28-23.1,28,23,1,"3,5,6,7,9,10,11,12,13,14,17,18,19,20,21,22,25,26,27,28,29,30,31","112,707,3024,11536",0
Csw,32,28-23.2,28,23,2,"3,5,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28","113,706,3012,11548",0
Csw,64,7-1.1,7,1,1,63,"0,0,0,1",21
Csw,64,8-2.1,8,2,1,"15,51","0,2,1,0",28
Csw,64,9-3.1,9,3,1,"7,27,45","1,4,2,0",30
Csw,64,9-3.2,9,3,2,"7,25,43","2,3,1,1",24
Csw,64,9-3.3,9,3,3,"7,27,43","2,4,0,0",24
Csw,64,9-3.4,9,3,4,"7,11,61","3,0,4,0",21
Csw,64,9-3.5,9,3,5,"7,25,42","3,0,4,0",18
Csw,64,9-3.6,9,3,6,"7,11,53","3,2,0,2",21
Csw,64,9-3.7,9,3,7,"7,11,51","3,3,0,0",21
Csw,64,9-3.8,9,3,8,"7,11,29","3,4,0,0",21
Csw,64,9-3.9,9,3,9,"7,11,49","4,0,2,0",15
Csw,64,9-3.10,9,3,10,"7,11,21","5,0,2,0",12
Csw,64,10-4.1,10,4,1,"7,27,43,53","2,8,4,0",33
Csw,64,10-4.2,10,4,2,"7,25,42,53","3,6,4,2",27
Csw,64,10-4.3,10,4,3,"7,11,29,51","3,7,4,0",30
Csw,64,10-4.4,10,4,4,"7,11,29,46","3,8,3,0",30
Csw,64,10-4.5,10,4,5,"7,11,29,49","4,6,2,2",24
Csw,64,10-4.6,10,4,6,"7,11,29,45","4,8,0,0",24
Csw,64,10-4.7,10,4,7,"7,25,42,52","5,0,10,0",15
Csw,64,10-4.8,10,4,8,"7,11,21,57","5,4,2,4",21
Csw,64,10-4.9,10,4,9,"7,11,21,45","5,5,2,2",21
Csw,64,10-4.10,10,4,10,"7,11,13,62","7,0,7,0",24
Csw,64,11-5.1,11,5,1,"7,11,29,45,51","4,14,8,0",34
Csw,64,11-5.2,11,5,2,"7,25,42,52,63","5,10,10,5",25
Csw,64,11-5.3,11,5,3,"7,11,29,46,49","5,12,7,4",28
Csw,64,11-5.4,11,5,4,"7,11,21,46,56","6,10,8,4",25
Csw,64,11-5.5,11,5,5,"7,11,29,45,49","6,12,4,4",25
Csw,64,11-5.6,11,5,6,"7,11,19,29,62","6,12,8,0",27
Csw,64,11-5.7,11,5,7,"7,11,21,38,57","7,8,7,8",22
Csw,64,11-5.8,11,5,8,"7,11,21,41,51","7,9,6,6",22
Csw,64,11-5.9,11,5,9,"7,11,13,30,49","8,10,4,4",28
Csw,64,11-5.10,11,5,10,"7,11,13,30,46","8,14,0,0",28
Csw,64,12-6.1,12,6,1,"7,11,29,45,51,62","6,24,16,0",36
Csw,64,12-6.2,12,6,2,"7,11,21,46,54,56","8,20,14,8",27
Csw,64,12-6.3,12,6,3,"7,11,21,41,51,63","9,18,13,12",24
Csw,64,12-6.4,12,6,4,"7,11,21,41,54,56","10,15,16,11",21
Csw,64,12-6.5,12,6,5,"7,11,13,30,46,49","10,20,8,8",30
Csw,64,12-6.6,12,6,6,"7,11,19,37,57,63","10,16,12,16",20
Csw,64,12-6.7,12,6,7,"7,11,19,29,37,59","10,16,16,8",20
Csw,64,12-6.8,12,6,8,"7,11,19,29,37,57","10,18,10,12",20
Csw,64,12-6.9,12,6,9,"7,11,21,25,38,58","11,14,15,12",21
Csw,64,12-6.10,12,6,10,"7,11,13,19,46,49","12,14,12,12",23
Csw,64,13-7.1,13,7,1,"7,11,21,25,38,58,60","14,28,24,24",20
Csw,64,13-7.2,13,7,2,"7,11,13,30,46,49,63","14,33,16,16",36
Csw,64,13-7.3,13,7,3,"7,11,19,29,37,59,62","15,24,32,16",12
Csw,64,13-7.4,13,7,4,"7,11,19,29,37,41,60","15,27,21,27",16
Csw,64,13-7.5,13,7,5,"7,11,13,19,46,49,63","15,28,20,24",22
Csw,64,13-7.6,13,7,6,"7,11,19,30,37,41,52","16,22,30,22",17
Csw,64,13-7.7,13,7,7,"7,11,13,19,37,57,63","16,24,22,32",18
Csw,64,13-7.8,13,7,8,"7,11,19,37,41,60,63","16,26,18,30",12
Csw,64,13-7.9,13,7,9,"7,11,19,29,37,41,47","18,20,28,24",20
Csw,64,13-7.10,13,7,10,"7,11,13,19,35,49,63","18,21,24,24",21
Csw,64,14-8.1,14,8,1,"7,11,19,30,37,41,49,60","22,40,36,56",8
Csw,64,14-8.2,14,8,2,"7,11,19,29,30,37,41,47","22,40,41,48",16
Csw,64,14-8.3,14,8,3,"7,11,13,19,21,25,35,60","29,26,46,50",19
Csw,64,14-8.4,14,8,4,"7,11,13,14,19,21,25,54","38,17,52,44",25
Csw,64,14-8.5,14,8,5,"7,11,13,14,19,21,22,57","39,16,48,48",25
Csw,64,14-8.6,14,8,6,"7,11,19,29,30,37,41,49","22,41,36,52",8
Csw,64,14-8.7,14,8,7,"7,11,19,30,37,41,52,56","23,32,56,40",13
Csw,64,14-8.8,14,8,8,"7,11,13,19,21,41,54,63","23,38,38,54",16
Csw,64,14-8.9,14,8,9,"7,11,13,19,21,46,54,56","23,40,36,48",16
Csw,64,14-8.10,14,8,10,"7,11,19,29,37,41,47,49","24,31,54,42",16
Csw,64,15-9.1,15,9,1,"7,11,19,30,37,41,49,60,63","30,60,60,105",0
Csw,64,15-9.2,15,9,2,"7,11,19,29,30,37,41,49,60","30,61,60,100",0
Csw,64,15-9.3,15,9,3,"7,11,19,29,37,41,47,49,55","33,44,96,72",14
Csw,64,15-9.4,15,9,4,"7,11,13,14,19,21,35,41,63","39,38,80,88",19
Csw,64,15-9.5,15,9,5,"7,11,13,14,19,21,22,25,58","55,22,96,72",27
Csw,64,15-9.6,15,9,6,"7,11,13,19,21,35,37,57,58","33,54,60,108",6
Csw,64,15-9.7,15,9,7,"7,11,13,19,21,25,35,60,63","34,52,65,100",12
Csw,64,15-9.8,15,9,8,"7,11,13,19,21,35,41,49,63","35,42,88,80",14
Csw,64,15-9.9,15,9,9,"7,11,13,19,21,25,35,37,63","37,40,84,84",17
Csw,64,15-9.10,15,9,10,"7,11,13,14,19,21,25,35,60","43,34,80,88",18
Csw,64,16-10.1,16,10,1,"7,11,13,19,21,35,37,57,58,60","43,81,96,189",0
Csw,64,16-10.2,16,10,2,"7,11,19,29,37,41,47,49,55,59","45,60,160,120",15
Csw,64,16-10.3,16,10,3,"7,11,13,19,21,25,35,37,41,63","49,56,144,136",15
Csw,64,16-10.4,16,10,4,"7,11,13,14,19,21,25,35,37,63","53,52,136,144",18
Csw,64,16-10.5,16,10,5,"7,11,13,14,19,21,22,25,35,60","61,44,136,144",17
Csw,64,16-10.6,16,10,6,"7,11,13,14,19,21,22,25,26,60","77,28,168,112",29
Csw,64,16-10.7,16,10,7,"7,11,13,14,19,21,35,37,57,58","47,72,98,192",4
Csw,64,16-10.8,16,10,8,"7,11,13,14,19,21,25,35,60,63","49,68,108,176",8
Csw,64,16-10.9,16,10,9,"7,11,13,14,19,21,22,35,57,60","51,64,102,192",4
Csw,64,16-10.10,16,10,10,"7,11,13,14,19,21,22,35,37,57","57,48,120,160",15
Csw,64,16-10.11,16,10,11,"7,11,13,19,21,35,41,50,61,62","59,0,262,0",0
Csw,64,16-10.12,16,10,12,"7,11,13,19,21,35,41,49,61,62","60,0,256,0",0
Csw,64,16-10.13,16,10,13,"7,11,13,19,21,35,41,52,56,62","60,0,256,0",0
Csw,64,16-10.14,16,10,14,"7,11,19,37,41,47,49,55,59,62","60,0,256,0",0
Csw,64,16-10.15,16,10,15,"7,11,13,19,21,25,35,44,55,61","60,0,257,0",0
Csw,64,17-11.1,17,11,1,"7,11,13,14,19,21,35,37,57,58,60","59,108,150,324",0
Csw,64,17-11.2,17,11,2,"7,11,19,29,37,41,47,49,55,59,62","60,80,256,192",16
Csw,64,17-11.3,17,11,3,"7,11,13,19,21,25,35,37,41,49,63","65,75,232,216",16
Csw,64,17-11.4,17,11,4,"7,11,13,14,19,21,25,35,37,41,63","68,72,224,224",16
Csw,64,17-11.5,17,11,5,"7,11,13,14,19,21,22,25,35,37,63","73,67,216,232",19
Csw,64,17-11.6,17,11,6,"7,11,13,14,19,21,22,25,26,28,63","105,35,280,168",31
Csw,64,17-11.7,17,11,7,"7,11,13,14,19,21,22,35,37,38,57","76,64,192,256",16
Csw,64,17-11.8,17,11,8,"7,11,13,19,21,25,35,37,42,61,62","79,0,394,0",0
Csw,64,17-11.9,17,11,9,"7,11,13,14,19,21,35,41,49,50,61","80,0,388,0",0
Csw,64,17-11.10,17,11,10,"7,11,13,14,19,21,22,25,26,35,60","84,56,224,224",16
Csw,64,18-12.1,18,12,1,"7,11,13,14,19,21,22,35,37,57,58,60","78,144,228",0
Csw,64,18-12.2,18,12,2,"7,11,13,14,19,21,22,35,37,38,57,58","84,128,240",0
Csw,64,18-12.3,18,12,3,"7,11,13,14,19,21,22,25,26,35,60,63","92,112,280",0
Csw,64,18-12.4,18,12,4,"7,11,13,19,21,25,35,37,42,49,61,62","102,0,588",0
Csw,64,18-12.5,18,12,5,"7,11,13,14,19,21,25,35,44,49,52,62","103,0,582",0
Csw,64,19-13.1,19,13,1,"7,11,13,14,19,21,22,35,37,38,57,58,60","100,192,336",0
Csw,64,19-13.2,19,13,2,"7,11,13,14,19,21,22,35,41,44,49,55,56","131,0,847",0
Csw,64,19-13.3,19,13,3,"7,11,13,14,19,21,25,35,37,42,49,50,61","131,0,847",0
Csw,64,19-13.4,19,13,4,"7,11,13,14,19,21,22,35,41,42,49,52,56","132,0,840",0
